,starname,period,T0,dt,Teff,FWHM
0,HAT-P-3,2.89973764,54218.7596,2.087,5190,0
1,Kepler-25,12.720370495,54960.64674500001,3.5439300000000005,6270,0
2,Kepler-68,5.3987525913,55006.85878,3.43422,5793,0
3,HAT-P-33,3.47447773,56684.86508,0.18075,6446,0
4,K2-105,8.267043,57379.46827000001,3.4622,0,0
5,HD89345,0.0,0.0,5.734,5500,0
6,Kepler-63,9.4341503479,55010.8434,2.903,5576,0
7,HAT-P-49,2.6915539,56975.61736,4.1088,6820,0
8,WASP-47,9.03077,57006.36931,4.288,5576,0
9,WASP-107,5.721474,57584.329897,0.1147,0,0
10,WASP-166,5.4435402,58540.739389,3.6,0,0
11,HAT-P-11,4.887802443,54957.81320669999,2.3565,4780,0
12,WASP-156,3.8361672,58644.30467000001,2.41,0,0
13,HD106315,21.05652000000001,57569.01767000001,4.378,6327,0
14,KELT-17b,3.0801716,57287.74564,3.4752,7454,68
15,HD3167,0.95965433,57394.37419,1.7921484161404546,0,0
16,HD3167,29.8464942,57394.9778,5.63594577022729,0,0
17,WASP-178,3.3448412,58321.86724,3.634,0,0
